Frame,FPS
0,"0,000000"
58,"58,000000"
117,"59,000000"
171,"54,000000"
214,"43,000000"
257,"43,000000"
299,"42,000000"
341,"42,000000"
385,"44,000000"
430,"45,000000"
474,"44,000000"
516,"42,000000"
558,"42,000000"
600,"42,000000"
638,"38,000000"
670,"32,000000"
702,"32,000000"
732,"30,000000"
763,"31,000000"
792,"29,000000"
821,"29,000000"
849,"28,000000"
876,"27,000000"
902,"26,000000"
928,"26,000000"
951,"23,000000"
974,"23,000000"
997,"23,000000"
1018,"21,000000"
1039,"21,000000"
1060,"21,000000"
1080,"20,000000"
1101,"21,000000"
1122,"21,000000"
1142,"20,000000"
1161,"19,000000"
1181,"20,000000"
1200,"19,000000"
1218,"18,000000"
1237,"19,000000"
1255,"18,000000"
1273,"18,000000"
1289,"16,000000"
1306,"17,000000"
1323,"17,000000"
1339,"16,000000"
1355,"16,000000"
1370,"15,000000"
1387,"17,000000"
1404,"17,000000"
1418,"14,000000"
1434,"16,000000"
1450,"16,000000"
1469,"19,000000"
1490,"21,000000"
1510,"20,000000"
1557,"47,000000"
1609,"52,000000"
1658,"49,000000"
1705,"47,000000"
1749,"44,000000"
1798,"49,000000"
1842,"44,000000"
1873,"31,000000"
1901,"28,000000"
1926,"25,000000"
1950,"24,000000"
1973,"23,000000"
1998,"25,000000"
2020,"22,000000"
2042,"22,000000"
2066,"24,000000"
2088,"22,000000"
2109,"21,000000"
2131,"22,000000"
2152,"21,000000"
2172,"20,000000"
2191,"19,000000"
2214,"23,000000"
2237,"23,000000"
